hour,hum
0,62.04608295
1,64.15668203
2,66.12442396
3,67.26267281
4,69.60829493
5,71.66820276
6,73.34101382
7,73.13364055
8,70.18894009
9,62.03686636
10,52.70046083
11,45.65898618
12,40.11059908
13,36.14285714
14,33.53917051
15,32.59907834
16,33.16589862
17,36.03686636
18,40.62672811
19,45.99078341
20,51.11059908
21,55.02304147
22,58.77880184
23,61.98156682
