hour,hum
0,65.60843373
1,65.98192771
2,66.41566265
3,66.80120482
4,67.24096386
5,67.87349398
6,68.69879518
7,69.10240964
8,68.60843373
9,67.31927711
10,65.53614458
11,64.8313253
12,64.60843373
13,64.36746988
14,65.0060241
15,65.51807229
16,66.40361446
17,67.11445783
18,68.19879518
19,69.25301205
20,70.18674699
21,71
22,71.23493976
23,71.80120482
