hour,tem
0,3.867682927
1,3.25304878
2,2.698170732
3,2.203658537
4,1.789634146
5,1.418292683
6,1.067073171
7,0.858536585
8,1.570121951
9,3.738414634
10,6.346341463
11,8.871341463
12,11.01219512
13,12.57317073
14,13.48353659
15,13.96097561
16,13.8945122
17,13.01158537
18,11.63414634
19,10.2945122
20,9.182926829
21,8.265243902
22,7.495731707
23,6.827439024
