hour,tem
0,22.71748634
1,22.41256831
2,22.14535519
3,21.93497268
4,21.70655738
5,21.50382514
6,21.31803279
7,21.44043716
8,21.89234973
9,22.43715847
10,23.00054645
11,23.5431694
12,24.00218579
13,24.26557377
14,24.30928962
15,24.23114754
16,24.01967213
17,23.66010929
18,23.2136612
19,22.72240437
20,22.26284153
21,21.92677596
22,21.66284153
23,21.42295082
